chapter,verse,sanskrit,translation,source
1,1,अथातो ब्रह्मजिज्ञासा,"Now, therefore, the inquiry into Brahman.",Brahma Sutras
1,2,जन्माद्यस्य यतः,"Brahman is That from which the origin, sustenance, and dissolution of this universe proceed.",Brahma Sutras
1,3,शास्त्रयोनित्वात्,The scripture (Veda) is the source of right knowledge concerning Brahman.,Brahma Sutras
1,4,तत्तु समन्वयात्,"But that Brahman is known from the Upanishads, because they all have It as their main purport.",Brahma Sutras
